Operand,Value,Delta
CX,379.25,-40.5
CX,392.0,-53.25
OX,421.0,-82.25
CX,369.75,-31.0
OX,369.75,-31.0
OX,369.75,-31.0
OX,421.25,-82.5
CX,369.75,-31.0
OX,392.0,-53.25
OX,425.5,-86.75
PMX,369.75,-31.0
OX,392.0,-53.25
PMX,383.25,-44.5
PMX,387.25,-48.5
CX,369.75,-31.0
PMX,400.5,-61.75
CX,369.75,-31.0
CX,369.75,-31.0
PMX,369.75,-31.0
CX,383.25,-44.5
PMX,392.0,-53.25
PMX,373.75,-35.0
CX,383.25,-44.5
OX,425.5,-86.75
OX,392.0,-53.25
PMX,397.0,-58.25
CX,392.0,-53.25
CX,425.5,-86.75
OX,375.5,-36.75
PMX,404.0,-65.25
CX,392.0,-53.25
CX,398.5,-59.75
CX,398.5,-59.75
OX,378.5,-39.75
PMX,392.0,-53.25
PMX,392.0,-53.25
OX,375.5,-36.75
CX,392.0,-53.25
OX,430.0,-91.25
CX,380.75,-42.0
OX,384.0,-45.25
CX,430.0,-91.25
PMX,392.0,-53.25
OX,392.0,-53.25
CX,398.5,-59.75
CX,430.0,-91.25
PMX,410.0,-71.25
PMX,403.0,-64.25
CX,430.0,-91.25
PMX,385.25,-46.5
PMX,380.75,-42.0
CX,398.5,-59.75
CX,413.0,-74.25
OX,418.0,-79.25
OX,380.75,-42.0
CX,392.0,-53.25
OX,379.0,-40.25
PMX,369.75,-31.0
OX,398.5,-59.75
OX,399.75,-61.0
PMX,373.0,-34.25
PMX,380.75,-42.0
OX,387.25,-48.5
CX,373.0,-34.25
PMX,380.75,-42.0
PMX,380.75,-42.0
CX,373.0,-34.25
CX,373.0,-34.25
CX,369.75,-31.0
PMX,377.5,-38.75
OX,380.75,-42.0
PMX,370.5,-31.75
CX,387.25,-48.5
PMX,377.5,-38.75
PMX,380.75,-42.0
PMX,380.75,-42.0
PMX,387.25,-48.5
OX,388.5,-49.75
CX,381.0,-42.25
PMX,380.75,-42.0
CX,369.75,-31.0
OX,410.25,-71.5
PMX,402.0,-63.25
PMX,380.75,-42.0
PMX,388.5,-49.75
PMX,412.5,-73.75
CX,407.25,-68.5
CX,378.5,-39.75
OX,364.0,-25.25
PMX,397.25,-58.5
CX,407.25,-68.5
OX,407.25,-68.5
PMX,407.25,-68.5
CX,369.75,-31.0
PMX,408.25,-69.5
OX,388.5,-49.75
CX,380.75,-42.0
CX,410.25,-71.5
OX,388.0,-49.25
CX,407.25,-68.5
OX,392.75,-54.0
CX,410.25,-71.5
CX,383.25,-44.5
CX,407.25,-68.5
CX,380.75,-42.0
PMX,405.75,-67.0
PMX,407.25,-68.5
PMX,394.0,-55.25
CX,388.5,-49.75
CX,410.25,-71.5
PMX,412.0,-73.25
OX,380.75,-42.0
CX,407.25,-68.5
PMX,407.25,-68.5
CX,407.25,-68.5
PMX,407.25,-68.5
OX,392.75,-54.0
OX,385.5,-46.75
CX,373.0,-34.25
PMX,407.25,-68.5
OX,392.75,-54.0
OX,407.25,-68.5
OX,400.0,-61.25
CX,407.25,-68.5
PMX,407.25,-68.5
CX,373.0,-34.25
CX,385.5,-46.75
PMX,389.0,-50.25
CX,407.25,-68.5
PMX,392.75,-54.0
PMX,364.0,-25.25
CX,407.25,-68.5
CX,407.25,-68.5
PMX,385.5,-46.75
PMX,389.0,-50.25
OX,407.25,-68.5
PMX,407.25,-68.5
CX,407.25,-68.5
OX,385.5,-46.75
CX,394.0,-55.25
PMX,407.25,-68.5
OX,364.0,-25.25
CX,394.0,-55.25
CX,394.0,-55.25
CX,389.0,-50.25
OX,396.5,-57.75
PMX,407.25,-68.5
CX,380.75,-42.0
CX,407.25,-68.5
CX,407.25,-68.5
OX,407.25,-68.5
OX,421.25,-82.5
OX,407.25,-68.5
CX,396.5,-57.75
PMX,394.0,-55.25
PMX,407.25,-68.5
CX,407.25,-68.5
PMX,410.25,-71.5
OX,394.0,-55.25
OX,394.0,-55.25
OX,380.75,-42.0
CX,410.25,-71.5
PMX,394.0,-55.25
CX,407.25,-68.5
PMX,407.25,-68.5
CX,407.25,-68.5
PMX,380.75,-42.0
CX,407.25,-68.5
PMX,380.75,-42.0
OX,380.75,-42.0
PMX,407.25,-68.5
CX,407.25,-68.5
OX,380.75,-42.0
CX,380.75,-42.0
PMX,380.75,-42.0
CX,407.25,-68.5
OX,380.75,-42.0
CX,407.25,-68.5
OX,407.25,-68.5
CX,380.75,-42.0
OX,407.25,-68.5
OX,380.75,-42.0
PMX,407.25,-68.5
OX,380.75,-42.0
OX,380.75,-42.0
PMX,407.25,-68.5
CX,380.75,-42.0
CX,380.75,-42.0
CX,380.75,-42.0
PMX,380.75,-42.0
CX,380.75,-42.0
PMX,407.25,-68.5
PMX,407.25,-68.5
PMX,380.75,-42.0
PMX,407.25,-68.5
OX,407.25,-68.5
PMX,380.75,-42.0
CX,380.75,-42.0
CX,380.75,-42.0
PMX,380.75,-42.0
PMX,380.75,-42.0
CX,380.75,-42.0
OX,380.75,-42.0
OX,407.25,-68.5
PMX,380.75,-42.0
CX,380.75,-42.0
OX,380.75,-42.0
OX,380.75,-42.0
CX,380.75,-42.0
CX,407.25,-68.5
CX,380.75,-42.0
OX,380.75,-42.0
OX,380.75,-42.0
PMX,380.75,-42.0
OX,380.75,-42.0
PMX,380.75,-42.0
PMX,380.75,-42.0
PMX,380.75,-42.0
OX,380.75,-42.0
PMX,380.75,-42.0
OX,380.75,-42.0
CX,380.75,-42.0
PMX,380.75,-42.0
OX,380.75,-42.0
CX,380.75,-42.0
OX,380.75,-42.0
OX,380.75,-42.0
PMX,380.75,-42.0
PMX,380.75,-42.0
OX,380.75,-42.0
CX,380.75,-42.0
OX,380.75,-42.0
CX,380.75,-42.0
PMX,380.75,-42.0
CX,380.75,-42.0
CX,380.75,-42.0
OX,380.75,-42.0
CX,380.75,-42.0
PMX,380.75,-42.0
